Index,RMS,dBFS,8Hz,12.5Hz,16Hz,20Hz,25Hz,31.5Hz,40Hz,50Hz,63Hz,80Hz,100Hz,125Hz,160Hz,200Hz,250Hz,315Hz,400Hz,500Hz,630Hz,800Hz,1000Hz,1250Hz,1600Hz,2000Hz,2500Hz,3150Hz,4000Hz,5000Hz,6300Hz,8000Hz,10000Hz,12500Hz,16000Hz,20000Hz
0.0,47.0,-56.86704154048,3.455606112581867,4.301694002474432,4.301694002474432,4.301694002474432,4.364377935178045,4.364377935178045,4.354331629971712,4.39379718575624,4.184768308727092,4.268969927417441,4.469450845202732,4.361394961849968,4.145646038607954,3.500252923318222,3.4327423104912174,3.411888934153835,3.3477905518647,3.06081345835967,3.0391736636799225,2.70309227208832,2.7618737667725988,2.7592463237242386,2.50174822523518,2.5698642612000615,2.3349445360027747,2.2939278908071055,2.2136279297116603,2.0961442732809,1.6605514229164524,2.0512653517281425,1.9430769105651402,1.8653517455866886,1.911224925290001,1.7723938413269986
1.0,949.0,-30.7636744506485,5.316900878043879,5.444742054935876,5.444742054935876,5.444742054935876,5.757941619500864,5.757941619500864,5.618284371960382,5.2777752871347845,5.568208683028209,5.570349363101361,5.8000746935628085,5.904183043073202,5.802572656489511,5.268240220234814,5.438310490584458,5.238709988952964,4.753180543629561,4.265267323593629,3.9789516236514433,4.1029403525725145,4.395512143359791,4.4963177305267115,3.9377280348210366,3.6480731876639982,3.5939868412152403,3.4723005660224335,3.4057955803067257,3.444857690526664,2.5862763456184226,2.763654762548521,2.655956089213579,2.590064737749819,2.3927991858229443,2.5722850855605315
2.0,3687.0,-18.975535947072025,5.656324398058997,5.317000624385228,5.317000624385228,5.317000624385228,5.497966879867816,5.497966879867816,5.558498094941959,5.5625072334178824,5.627978941210732,5.8196894597977975,6.136126405078586,6.094652768175833,5.795967269970981,5.494168079625355,5.926157778851825,5.400710202214507,5.015348470938736,4.759417606060234,4.772140636755016,4.608865282989315,4.643051233781235,4.18308990866222,4.437978769462623,4.170232572984669,4.224499474691429,4.066043127086358,4.080965758298981,3.7925994755251615,3.705593310292352,3.6549624332306663,3.566205661643082,3.4871087045688296,3.4264694325861154,3.3976000362507555
3.0,5688.0,-15.20980694476016,5.4137355166948735,5.7473351674889175,5.7473351674889175,5.7473351674889175,5.650472621375595,5.650472621375595,5.6398829042708405,5.667027208570608,5.700071566215455,5.813993483927014,6.178229253401433,6.234914964819953,5.936334652497639,6.244182890631194,6.055382392017553,5.668624253945984,5.315042246120077,4.318754245063927,4.510565827696718,4.565241250977111,4.849785694926562,4.344142673227221,4.669189209257813,4.361466848140172,4.331699929778444,4.0823314944896,4.042948564619309,3.905056477629277,3.6217526434149465,3.500682456051122,3.3886372339107105,3.299341175764941,3.2361020434909924,3.3879785378546448
4.0,6088.0,-14.619505823944028,5.863941734788814,5.482211918134785,5.482211918134785,5.482211918134785,5.717697176405924,5.717697176405924,5.760884143710641,5.784026913613446,5.878017417124885,6.047416359310313,6.512313140401128,6.2598112037195754,5.450286185131531,6.424146057633044,6.081230716123175,6.308648691892883,5.689982940262971,5.027893427727788,4.969566407070151,5.100134901831131,5.288917942434558,5.155914298961964,4.645313589296305,4.805899521762548,4.319316272383566,3.9639224971644857,3.5299065238805487,3.6422836812360155,3.6701251448249734,3.464893338230402,3.3787297998221955,3.2922239264409408,3.27449112670758,3.309220093987062
5.0,3855.0,-18.588511051454844,5.448372356628398,4.791181074560098,4.791181074560098,4.791181074560098,5.369172957385088,5.369172957385088,4.417681407224806,4.990952897218152,4.636438517773057,5.363931064346219,6.477503542053984,5.981286639060576,5.458567489514246,6.028131427518409,5.90748386091888,5.917643420884171,5.419473773402485,5.315437895102436,5.336961977177755,4.921808130227356,4.760157916221898,4.7480100457918635,4.335663358849608,4.244727645080746,4.200070153611085,4.038716976887453,3.9597794901012966,3.808624982394478,3.757742478030024,3.65410968441013,3.5741584958470964,3.4932863769631854,3.4319078481433802,3.351667907875157
6.0,3254.0,-20.060647727177553,4.308009186238258,6.046840303709747,6.046840303709747,6.046840303709747,5.632683211369172,5.632683211369172,5.372022172633401,5.1880437769188354,5.424441679048485,5.782235783140018,6.51022943019439,5.951240798950547,5.505237515012208,5.271392097998525,5.869420704766691,5.676497010285289,5.095128597634228,4.756284899380343,5.104504557916757,4.605601820553485,4.497530111578305,4.175304260167593,3.666556161091422,3.821731550066096,3.7383972659439726,3.6833536517130256,3.5849141404348734,3.4684593895831477,3.3624009931555596,3.3061286497946902,3.1998761561151863,3.119215153050431,3.051132871735846,2.9927590709310645
7.0,1545.0,-26.530429023977288,5.183178703474836,5.412331130024436,5.412331130024436,5.412331130024436,5.25005962390816,5.25005962390816,5.307201116416615,5.16284195626225,5.35418360905829,5.694683152875425,6.332665936486652,5.467380421400233,5.516734079589195,5.826140096056161,5.743275673414402,5.067997897403226,4.75607657774483,4.957799519816751,4.892031028979537,4.020208664009958,3.658055789148624,3.965261802177587,3.6504657042687763,3.6071307430717146,3.486160383153595,3.4516271359157646,3.4030198731484895,3.2065548389268903,3.1176212340007528,3.0213263250679887,2.9598594395745588,2.8768749225866044,2.767433662500667,2.7720121283740218
8.0,2087.0,-23.918549717885277,5.004845650538529,4.983889692809876,4.983889692809876,4.983889692809876,5.0550543098503,5.0550543098503,4.846683285261311,5.082356717843564,5.249637325424817,5.413765175653994,6.43486484984842,5.5020848764430506,5.21676794040701,5.721649175905567,5.591721083424569,5.346458962476578,5.197979566877742,4.837279019226107,4.512382724484884,4.675203849588256,4.175024149126987,4.085418398935715,4.027252142290307,3.909867640712645,3.7971226224909134,3.7546163604062563,3.6189563275348755,3.567260449282582,3.4697681179076274,3.3536767086275066,3.258255227824548,3.1768510672619747,3.1123087310198887,3.0795303126789735
9.0,1396.0,-27.41129033345151,5.236262591711384,5.2178025031503985,5.2178025031503985,5.2178025031503985,5.179236019198662,5.179236019198662,5.124070052112978,5.194262817533196,5.2955513027447685,5.5169079373549845,6.429946480182894,5.62511386311514,5.1101283818163825,5.627225077499797,5.3017767110389045,5.4479262539249875,5.166011013412824,4.809702998246095,4.893096842315242,4.2319656225206,4.3901974520752685,4.052979097454371,4.1238048725721015,4.00316301368022,3.889017548019296,3.7487907756390615,3.650145406968312,3.5544400299280223,3.4891125522677453,3.388978026296404,3.2973296465017863,3.2159456577193772,3.14582503943165,3.107783427919791
