Index,RMS,dBFS,8Hz,12.5Hz,16Hz,20Hz,25Hz,31.5Hz,40Hz,50Hz,63Hz,80Hz,100Hz,125Hz,160Hz,200Hz,250Hz,315Hz,400Hz,500Hz,630Hz,800Hz,1000Hz,1250Hz,1600Hz,2000Hz,2500Hz,3150Hz,4000Hz,5000Hz,6300Hz,8000Hz,10000Hz,12500Hz,16000Hz,20000Hz
0.0,1126.0,-29.27823088888781,5.348542394163474,5.37817301403014,5.37817301403014,5.37817301403014,5.48732817056572,5.48732817056572,5.685665692225484,6.05852701965077,5.848775011734411,5.131034680482062,5.815015142723014,5.328253712146215,5.246281381447176,5.3606081921021875,5.2635563404846595,5.558488656721675,5.457662040136125,5.417579336275125,4.577651126062141,4.871239964505652,4.601369301881044,4.342010040423794,4.022692266430931,3.612331381152468,3.542957634424826,3.8824473251683607,3.5520396189710954,3.463952076184886,3.2752922297928144,3.1454723698256255,3.0603314144867304,2.9896153048060135,2.953195588709336,2.930541530921493
1.0,1853.0,-24.951490312816404,4.470351679345818,4.417504880150039,4.417504880150039,4.417504880150039,4.737620805877848,4.737620805877848,4.767713299334995,6.390755742918328,5.5484025107239825,5.554127379047914,6.297246707675352,5.427455408155037,5.419078343655289,5.121262273817572,5.423309784062054,5.230354600276025,5.419726969357211,4.483661120415866,4.2945773127012705,4.385275998484292,4.168651132841718,3.8522215849561046,3.1861112476182063,2.9056922529430627,2.9907838744517963,3.443293112466321,3.253177849098701,3.026109098313054,2.61037375103004,2.0939427078376784,1.2251730948778878,1.6227541495607898,2.2504278648731812,2.1270467248351737
2.0,1208.0,-28.667660013492096,4.894587411947813,5.015701542954109,5.015701542954109,5.015701542954109,5.0374297532561085,5.0374297532561085,5.407762364040017,6.303468277291884,5.708524702518255,5.9639648174837445,6.215602851355934,5.695182982815687,5.439562133283299,5.151325780123804,4.9436943889819025,4.409992073909069,3.485532688649692,4.2045243196245,3.9886241119754717,3.952610808229761,3.880647866518653,3.746046974330377,3.6729075775289135,3.5948919212638075,3.496963946001707,3.4392300661241046,3.287076836621256,3.1721986926964276,3.1477230098066964,3.0108816422459728,2.936624468479012,2.855528363339862,2.755617845760869,2.7489097422559032
3.0,1407.0,-27.34311675049944,5.251180571209099,5.233449820822003,5.233449820822003,5.233449820822003,5.439696406614355,5.439696406614355,5.791258057277105,6.130451766103041,5.857256314937818,5.769506143135776,6.150470834426957,5.519280023149465,5.53694801673599,3.9340548095638948,5.388362703132589,5.251427579335632,4.620233386335776,3.463092120928726,4.17767203839243,4.206302695555431,4.2416756802732065,3.698557740744254,3.578274943452143,3.486362864134308,3.2005951115669196,3.360323520634534,2.9728422921273974,2.806323056616337,2.648593503488382,2.2445420384740644,2.291861122953649,2.248169430934962,2.031214253159923,2.319402104505253
4.0,1528.0,-26.626531614400935,5.115670410230619,5.178215752854199,5.178215752854199,5.178215752854199,5.362555824721387,5.362555824721387,5.71359851321667,6.294292005018204,5.605276916198997,5.845327997757753,6.167237848088701,5.700403941710289,5.320682704403543,5.6763568946208816,5.740288524579966,5.403200365705291,4.584673438948825,4.331774567126123,4.3339388271598756,4.453707859209744,3.937393027508745,4.054780410705653,3.5616675722567686,3.7575016277970956,3.6752093308968514,3.4462698382654398,3.4982742472927537,3.3703596390474866,3.292335655528693,3.1316417131073475,3.0595776414149642,2.9830708617308987,2.8555918371755142,2.9171209340262854
5.0,582.0,-35.01053900619659,5.370148403021728,5.404770469774993,5.404770469774993,5.404770469774993,5.525354011782941,5.525354011782941,5.942894149009227,5.872945464987695,5.413298009083935,5.596349633877656,5.405401262213935,4.611010543330955,4.788281105390529,5.019976202852403,4.827475820798336,4.684714744549755,4.276179476119657,4.209129424789911,3.5489233160000557,4.08436961185831,4.054685631919715,3.9098584050020313,3.727937185268021,3.567536810867589,3.487882109778671,3.2806630145858207,3.3123173121255216,3.215064343247656,3.1529122057564978,2.991116623874231,2.9112500509028134,2.830253632652648,2.8142521624569787,2.7226838656484076
6.0,90.0,-51.22414851040786,4.519814872898306,4.554177267946353,4.554177267946353,4.554177267946353,4.73055449151101,4.73055449151101,4.874552288243327,4.949541805589433,4.6668956987898875,4.74104652594737,4.740248103703118,4.010365195308121,4.171145457017522,4.2770998002099985,4.201988250137805,3.6944534305166252,2.607125269898855,3.531920248468023,3.0055582501189133,2.996070613982539,2.806102461560693,2.4493183022933187,2.493055216922149,1.8191296492541447,2.491893161721356,2.567920283900036,2.4630597021271896,1.9579714881288561,1.7796370999800952,1.517086323782725,0.7228701849026397,0.7069757513923779,0.9518646258800453,1.6302817265157161
7.0,182.0,-45.10757093949286,4.336559790174719,4.5565612584886654,4.5565612584886654,4.5565612584886654,4.828377157969965,4.828377157969965,5.116108825724519,5.305178415385773,4.758883361913291,4.828209521298982,5.0625731852460785,4.74942487137888,4.5449413393806255,4.688223647283238,4.379326635431487,4.023589525682809,3.6609718750729776,4.179267928112229,4.168869249815758,3.666403877682181,4.259763230144173,3.8738600428469447,3.990588806769659,3.499423965735763,3.652144845180573,3.387380625670714,3.075461694057891,3.015410300396588,2.9005645322365594,2.7858616886388203,2.6987516336953625,2.6210810894475975,2.5588128806660695,2.606307209428856
8.0,996.0,-30.34381193072038,4.202651759757338,4.531918565792361,4.531918565792361,4.531918565792361,4.896583936277401,4.896583936277401,5.457920861302403,6.279673674563074,5.569962707898722,5.498271041993327,5.924894445691215,5.026107301622666,4.994929013103571,4.97456795957243,4.853068933451719,4.815781320745868,4.759555989699194,4.623522684212828,3.6532187328388637,4.066045585657902,4.09080261203392,4.027353380068501,3.7984166087481595,3.518158059084926,3.0012814235318,3.308079501302898,2.8272431165275616,2.946669357114978,2.8742779528435274,2.6421364437424426,2.593871866999006,2.5072845665321863,2.4057702420982108,2.428740351829254
9.0,1734.0,-25.528016836390528,4.609978381973561,4.333156188163849,4.333156188163849,4.333156188163849,4.64817245001779,4.64817245001779,4.896943183862932,6.430587881876366,4.196140286409725,5.33084232907652,6.297915029646562,5.109900687486657,5.582522146069639,5.533707645890146,5.304877482753531,5.426427096201221,5.330601298609771,5.177892684101164,4.809671832984791,4.190773809888804,4.289669911714416,4.0896362657831205,3.3849832417645502,3.3292954533750025,2.5249555552899863,3.317948953668446,3.3197509397083427,2.918434901563165,2.7636391593812553,2.2998745175555735,2.070136499123645,1.9849124747684643,2.105206552866298,1.8063583412040418
